Permit Number,Permit Series,Permit Type,Permit Status,Issue Date,Valid To,House Number,On Street,From Street,To Street,Permittee Name,Permit Purpose,Location (WKT)
X162016048A07,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,2401,DAVIDSON AVENUE,WEST  184 STREET,WEST FORDHAM ROAD,GUMA CONSTRUCTION CORP., ,"LINESTRING (1010939.1617999971 252947.75399999321, 1010997.799999997 253083.14740000665, 1010997.8296000063 253083.21299999952, 1010997.8623999953 253083.2786000073, 1011060.9660000056 253216.77899999917, 1011128.4625999928 253348.21899999678, 1011128.4723999947 253348.23540000618, 1011128.4821999967 253348.25180000067, 1011200.2109999955 253477.31000000238, 1011200.2406000048 253477.36560000479, 1011200.2733999938 253477.42139999568, 1011276.1524000019 253603.96979999542)"
X162016048A06,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,2401,GERARD AVENUE,EAST  162 STREET,EAST  164 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1005153.6713999957 241059.35279999673, 1005483.3822000027 241803.55419999361)"
X162016048A05,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/17/2016,02/21/2016,1353,CASTLE HILL AVENUE,LYON AVENUE,WESTCHESTER AVENUE,"CLIFFCO II, INC.", ,"LINESTRING (1025184.6708000004 243752.71019999683, 1025243.6832000017 243444.01340000331, 1025236.4948000014 243226.00859999657)"
X162016048A04,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,1794,EAST  172 STREET,BEACH AVENUE,ST LAWRENCE AVENUE,"ASBESTOS TRANSPORTATION COMPANY, INC.", ,"LINESTRING (1020905.8113999963 242722.61720000207, 1021180.2137999982 242771.67219999433)"
X162016048A03,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,95,WEST  195 STREET,RESERVOIR AVENUE,UNIVERSITY AVENUE,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1012206.6164000034 256133.89579999447, 1011994.2481999993 256273.07860000432)"
X162016048A02,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,95,OLINVILLE AVENUE,MACE AVENUE,WARING AVENUE,BAVARO CARTING CORP, ,"LINESTRING (1020625.4969999939 253122.84880000353, 1020640.5594000071 253803.22779999673)"
X162016048A01,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/22/2016,3425,GATES PLACE,WEST GUN HILL ROAD,WEST MOSHOLU PARKWAY NORTH,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1016135.5191999972 260623.4863999933, 1016549.8719999939 261103.88899999857)"
X162016048A00,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/17/2016,02/21/2016,112,BAY STREET,CITY ISLAND AVENUE,WILLIAM AVENUE,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1042554.7929999977 248067.03540000319, 1043253.7613999993 248256.25100000203)"
X162016047A27,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,3025,GODWIN TERRACE,KIMBERLY PLACE,WEST  231 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1010050.5217999965 259219.24699999392, 1010301.4265999943 259687.70960000157)"
X162016047A26,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,166,EAST  174 STREET,EASTBURN AVENUE,MORRIS AVENUE,GUMA CONSTRUCTION CORP., ,"MULTILINESTRING ((1009332.9774000049 247239.19599999487, 1009582.320600003 247224.26160000265), (1009324.1715999991 247086.37479999661, 1009576.4414000064 247067.71340000629))"
X162016047A25,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,1384,NELSON AVENUE,EDWARD L GRANT HIGHWAY,WEST  170 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1005711.3540000021 245983.60140000284, 1005694.6580000073 245953.98199999332, 1005501.4562000036 245608.48080000281)"
X162016047A24,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,3572,DEKALB AVENUE,EAST  212 STREET,EAST  213 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1017683.5444000065 261372.05760000646, 1017854.141200006 261678.89759999514)"
X162016047A23,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,1920,LORING PLACE,WEST  179 STREET,WEST BURNSIDE AVENUE,GUMA CONSTRUCTION CORP., ,"LINESTRING (1008006.7694000006 250985.51060000062, 1007880.8706 250448.91380000114, 1007854.3320000023 250403.43819999695)"
X162016047A22,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/21/2016,1141,EAST  223 STREET,EASTCHESTER ROAD,SCHIEFFELIN AVENUE,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1025938.7414000034 260844.42540000379, 1026549.0059999973 260501.60660000145)"
X162016047A21,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/21/2016,2487,GRAND AVENUE,WEST  188 STREET,WEST  190 STREET,"ACTION CARTING ENVIRONMENTAL SERVICES, INC.", ,"LINESTRING (1011213.3605999947 253997.57140000165, 1011371.8511999995 254272.7675999999)"
X162016047A20,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/21/2016,40,WEST  225 STREET,BEND,WEST  225 STREET,"ACTION CARTING ENVIRONMENTAL SERVICES, INC.", ,
X162016047A19,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,2020,HONEYWELL AVENUE,EAST  178 STREET,EAST  179 STREET,LEGACY CARTING CORP., ,"LINESTRING (1016334.4658000022 246460.32619999349, 1016515.8662 246740.87019999325)"
X162016047A18,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,2020 ,HONEYWELL AVENUE,EAST  178 STREET,EAST  179 STREET,LEGACY CARTING CORP., ,"LINESTRING (1016334.4658000022 246460.32619999349, 1016515.8662 246740.87019999325)"
X162016047A17,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/16/2016,02/20/2016,2343,ARTHUR AVENUE,CRESCENT AVENUE,EAST  186 STREET,"CITY WASTE SERVICES OF NEW YORK, INC.", ,"LINESTRING (1014852.290199995 250236.12559999526, 1015167.8243999928 250709.91719999909)"
X162016047A16,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,1229 ,FRANKLIN AVENUE,EAST  168 STREET,EAST  169 STREET,XOLLE LLC, ,"LINESTRING (1011407.6909999996 242310.27879999578, 1011286.1394000053 242175.7908000052, 1010964.4469999969 241812.26139999926)"
X162016047A15,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/16/2016,02/22/2016,1229 ,ODELL STREET,DEAD END,ST RAYMOND AVENUE,"ASBESTOS TRANSPORTATION COMPANY, INC.", ,"LINESTRING (1024456.6638000011 244938.03599999845, 1024499.5147999972 244628.75859999657, 1024522.8807999939 244460.1236000061)"
X162016047A14,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/21/2016,1229 ,MOHEGAN AVENUE,CROTONA PARKWAY,EAST  179 STREET,"ASBESTOS TRANSPORTATION COMPANY, INC.", ,"LINESTRING (1016044.9353999943 246647.88160000741, 1016225.7093999982 246928.58300000429)"
X162016047A13,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,1622,SEDGWICK AVENUE,CBE SOUTHBOUND EXIT    1 D,WEST  176 STREET,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1005793.8550000042 249141.53479999304, 1005712.9616000056 249009.80580000579, 1005397.8082000017 248566.58179999888, 1005159.2725999951 248136.5963999927, 1005159.2686000019 248136.58920000494, 1004930.1777999997 247584.54299999774)"
X162016047A12,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/21/2016,1622,EAST  189 STREET,HOFFMAN STREET,LORILLARD PLACE,"ASBESTOS TRANSPORTATION COMPANY, INC.", ,"LINESTRING (1015333.4868000001 251972.18500000238, 1015543.5486000031 251827.33300000429)"
X162016047A11,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,2968,PERRY AVENUE,BEDFORD PARK BOULEVARD,EAST  201 STREET,LEGACY CARTING CORP., ,"LINESTRING (1016065.8770000041 256094.69959999621, 1016537.6084000021 256479.50519999862)"
X162016047A10,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,2215,CRUGER AVENUE,ASTOR AVENUE,PELHAM PARKWAY,GUMA CONSTRUCTION CORP., ,"LINESTRING (1021156.2800000012 251845.49899999797, 1021170.6928000003 252474.80859999359)"
X162016047A09,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,18-20,EAST  179 STREET,JEROME AVENUE,WALTON AVENUE,"PLANET WASTE SERVICES, INC. ", ,"LINESTRING (1009585.9590000063 249931.87739999592, 1009813.2880000025 249776.42180000246)"
X162016047A08,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,18-20,DAVIDSON AVENUE,WEST  190 STREET,WEST FORDHAM ROAD,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1011276.1524000019 253603.96979999542, 1011582.7101999968 254138.18780000508)"
X162016047A07,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/16/2016,02/20/2016,832,MORRIS PARK AVENUE,GRAHAM STREET,MATTHEWS AVENUE,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1022511.9433999956 247579.1263999939, 1022632.3400000036 247612.36439999938)"
X162016047A06,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,832,MINERVA PLACE,CRESTON AVENUE,JEROME AVENUE,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1014399.4730000049 256903.73999999464, 1014368.0556000024 256688.79299999774)"
X162016047A05,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,833,LONGFELLOW AVENUE,LAFAYETTE AVENUE,SENECA AVENUE,GUMA CONSTRUCTION CORP., ,"LINESTRING (1016014.9420000017 236978.61640000343, 1015864.9784000069 237728.36220000684)"
X162016047A04,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,632,MORRIS AVENUE,EAST  151 STREET,EAST  153 STREET,LEGACY CARTING CORP., ,"LINESTRING (1005981.1702000052 238102.85619999468, 1005898.8897999972 237862.87980000675, 1005805.3646000028 237596.1658000052)"
X162016047A03,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/21/2016,260,CYPRESS AVENUE,EAST  138 STREET,EAST  139 STREET,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1007921.2872000039 232776.32179999352, 1008030.5947999954 233036.048999995)"
X162016047A02,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/16/2016,02/20/2016,2108-2112,BRONX PARK EAST,LYDIG AVENUE,MARAN PLACE,"FIVE STAR CARTING, INC. ", ,"LINESTRING (1020443.9257999957 250325.38400000334, 1020385.4976000041 250536.49560000002)"
X162016047A01,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/16/2016,02/20/2016,951,BROOK AVENUE,EAST  163 STREET,EAST  164 STREET,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1008796.0491999984 239804.20780000091, 1008661.5515999943 240379.5773999989)"
X162016047A00,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/16/2016,02/20/2016,1019,SOUTHERN BOULEVARD,ALDUS STREET,WESTCHESTER AVENUE,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1014198.827000007 239165.43279999495, 1014159.696600005 239740.22499999404)"
X162016046A18,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/15/2016,02/19/2016,1940,WEBSTER AVENUE,EAST  178 STREET,EAST TREMONT AVENUE,"CARDELLA TRUCKING CO., INC.", ,"LINESTRING (1011889.1925999969 248682.97259999812, 1011780.6495999992 248431.27359999716, 1011761.6764000058 248365.11560000479, 1011737.2474000007 248300.40119999647, 1011707.5525999963 248237.80279999971, 1011672.8905999959 248177.94079999626, 1011633.6550000012 248121.39560000598)"
X162016046A17,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/15/2016,02/20/2016,3305,BRUCKNER BOULEVARD,CODDINGTON AVENUE,COUNTRY CLUB ROAD,"P.C.I. CONTRACTING, INC.", ,"LINESTRING (1032371.329400003 245859.45460000634, 1032326.5755999982 246450.37219999731)"
X162016046A16,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,3305,HULL AVENUE,EAST  207 STREET,EAST  209 STREET,BAVARO CARTING CORP, ,"LINESTRING (1018655.2515999973 258180.79780000448, 1018970.6448000073 258739.91400000453)"
X162016046A15,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,245,WEST  230 STREET,GODWIN TERRACE,KINGSBRIDGE AVENUE,AMRO CARTING CORP., ,"LINESTRING (1009914.7248000056 258972.82700000703, 1009685.4898000062 259275.15240000188)"
X162016046A14,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,770,EAST  165 STREET,TINTON AVENUE,TRINITY AVENUE,BESTWAY CARTING INC., ,"LINESTRING (1010563.9854000062 239965.95280000567, 1010782.7116000056 239897.21040000021, 1010812.1480000019 239887.95900000632, 1010841.5843999982 239878.70759999752, 1010872.3121999949 239869.05040000379, 1011064.4009999931 239808.67960000038, 1011128.2566000074 239788.61100000143, 1011281.2639999986 239740.52359999716)"
X162016046A13,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,2609,BRIGGS AVENUE,COLES LANE,EAST  194 STREET,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1013911.9443999976 254446.22200000286, 1013587.3781999946 253779.95700000226, 1013521.2562000006 253712.13879999518)"
X162016046A12,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,840,BARRY STREET,BURNETT PLACE,TIFFANY STREET,"CITY WASTE SERVICES OF NEW YORK, INC.", ,"LINESTRING (1013989.3032000065 236221.55760000646, 1014230.0310000032 236561.40919999778)"
X162016046A11,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,3225,BRONXWOOD AVENUE,CHESTNUT STREET,SOUTH OAK DRIVE,"JOHN DANNA & SONS, INC.", ,"LINESTRING (1022591.9529999942 256935.20319999754, 1022596.8675999939 257192.440200001)"
X162016046A10,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,3054,GODWIN TERRACE,KIMBERLY PLACE,WEST  231 STREET,"ACTION CARTING ENVIRONMENTAL SERVICES, INC.", ,"LINESTRING (1010050.5217999965 259219.24699999392, 1010301.4265999943 259687.70960000157)"
X162016046A09,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,3054,GODWIN TERRACE,KIMBERLY PLACE,WEST  231 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1010050.5217999965 259219.24699999392, 1010301.4265999943 259687.70960000157)"
X162016046A08,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,875,LONGWOOD AVENUE,HEWITT PLACE,PROSPECT AVENUE,GUMA CONSTRUCTION CORP., ,"LINESTRING (1011468.0090000033 237876.75759999454, 1011922.2536000013 237529.0680000037)"
X162016046A07,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/15/2016,02/19/2016,932,SOUTHERN BOULEVARD,BARRETTO STREET,EAST  163 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1014248.5382000059 238402.79340000451, 1014185.1296000034 238248.26279999316, 1013847.1840000004 237811.69539999962)"
X162016046A06,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,744,BECK STREET,EAST  156 STREET,LONGWOOD AVENUE,GUMA CONSTRUCTION CORP., ,"LINESTRING (1012149.3102000058 236535.16259999573, 1012542.2052000016 237038.47720000148)"
X162016046A05,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,974,ANDERSON AVENUE,WEST  162 STREET,WEST  164 STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1004372.5279999971 242458.45759999752, 1004161.0936000049 242069.05779999495, 1004145.0338000059 242039.98139999807)"
X162016046A04,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/19/2016,1314,SENECA AVENUE,BRYANT AVENUE,FAILE STREET,GUMA CONSTRUCTION CORP., ,"LINESTRING (1015354.3561999947 237625.97400000691, 1015609.7756000012 237677.76520000398)"
X162016046A03,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,1314,AQUEDUCT AVENUE,EVELYN PLACE,NORTH STREET,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1010182.1159999967 252598.92919999361, 1010332.3126000017 252819.26000000536)"
X162016046A02,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,2315,WALTON AVENUE,EAST  183 STREET,EAST  184 STREET,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1011143.2295999974 252027.0963999927, 1011459.6888000071 252710.956400007)"
X162016046A01,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/15/2016,02/20/2016,2315,SHERIDAN AVENUE,EAST  167 STREET,EAST  168 STREET,"AFFORDABLE ENTERPRISES OF WESTCHESTER, INC.", ,"LINESTRING (1007664.3488000035 243651.76880000532, 1007337.1086000055 243217.08799999952, 1007322.3579999954 243195.02120000124, 1007316.7083999962 243186.47120000422)"
X162016046A00,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER CRITICAL STS,ACTIVE,02/15/2016,02/19/2016,2918,   3 AVENUE,EAST  150 STREET,EAST  151 STREET,S & S CONTAINERS INC., ,"LINESTRING (1007289.5595999956 236781.94359999895, 1007503.0434000045 237020.49959999323)"
X162016045A00,COMMERICAL REFUSE CONTAINER PERMIT,COMMERCIAL REFUSE CONTAINER,ACTIVE,02/14/2016,02/18/2016,3120,KINGSBRIDGE AVENUE,NAPLES TERRACE,WEST  232 STREET,UNITED CONTAINERS OF QUEENS INC., ,"LINESTRING (1010210.3245999962 259998.30380000174, 1010395.7836000025 260251.8302000016)"
